code,year_,freq,ITEM5601,ITEM6008,ITEM8001,ITEM9304
9591,2016,A,,,,
9614,2016,A,PIP,DE0006924202,4937989.98,1.03345
9635,2016,A,STR,DE0007277006,,
9671,2016,A,COP,DE000A288904,1936486342,8.88989
9672,2016,A,COP,DE000A288904,1936486342,8.88989
9674,2016,A,DAL,DE0005213003,593232640,10.15031
9676,2016,A,DAL,DE0005213003,741540800,10.15031
9719,2016,A,SRT,DE0007165607,2490649907.2,8.58882
9721,2016,A,SRT,DE0007165607,4978667657.6,8.58882
9736,2016,A,NEP,DE0008271008,119934000,1.06562
9786,2016,A,,,,
9823,2016,A,HEI,DE0006047004,17585652357,1.09274
9825,2016,A,HEI,DE0006047004,17585652357,1.09274
9857,2016,A,,,,
9872,2016,A,MLP,DE0006569908,456472314.05,1.19001
9873,2016,A,MLP,DE0006569908,456472314.05,1.19001
9904,2016,A,,,,
9905,2016,A,,,,
9908,2016,A,,,,
9910,2016,A,,,,
9921,2016,A,,DE0007657207,,
9923,2016,A,,,,
9951,2016,A,,,,
9989,2016,A,MRK,DE0006599905,43108226604,3.17159
9996,2016,A,,,,
10030,2016,A,,,,
10079,2016,A,,DE0007163107,,
10103,2016,A,,,,
10106,2016,A,MAN,DE0005937007,13913683526,2.41893
10136,2016,A,,,,
10140,2016,A,SPR,DE0005501357,4977210696.4,2.24462
10155,2016,A,SLB,DE0007251407,33207004,2.24217
10198,2016,A,ALCO,GRS276003019,,
10226,2016,A,AXON,GRS197003007,,-0.00493
10412,2016,A,MOH,GRS426003000,1451257038,1.76565
10426,2016,A,TELL,GRS004013009,210567791.6,0.25821
11492,2016,A,NRC,INE953C01018,,
11571,2016,A,,,,
11572,2016,A,,,,
11594,2016,A,,,,
11611,2016,A,SCI,INE109A01011,30253645700,0.43793
11809,2016,A,BFIN,ID1000124001,5.2375343E12,1.231
11811,2016,A,BFIN,ID1000124001,5.2375343E12,1.231
11865,2016,A,CTRA,ID1000115306,2.0592764E13,2.24384
11867,2016,A,CTRA,ID1000115306,2.0592764E13,2.24384
12019,2016,A,META,ID1000116304,1.9453785E12,0.96055
12055,2016,A,,,,
12071,2016,A,SCCO,ID1000080906,1.4956192E12,1.23167
12072,2016,A,SCCO,ID1000080906,1.4956192E12,1.23167
12076,2016,A,UNVR,ID1000095706,2.96044E14,62.93107
12077,2016,A,,ID1000095706,,
