gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,costat,gind
034447,20161231,2016,INDL,C,D,STD,BYND,BEYOND MEAT INC,USD,A,302020
034469,20161231,2016,INDL,C,D,STD,AGE,AGEX THERAPEUTICS,USD,A,352010
034616,20161231,2016,INDL,C,D,STD,ALEC,ALECTOR INC,USD,A,352010
034873,20161231,2016,INDL,C,D,STD,LYFT,LYFT INC,USD,A,203040
035062,20161231,2016,INDL,C,D,STD,TMDX,TRANSMEDICS GROUP INC,USD,A,351010
035077,20161231,2016,INDL,C,D,STD,UBER,UBER TECHNOLOGIES INC,USD,A,203040
035158,20161231,2016,INDL,C,D,STD,PSN,PARSONS CORP,USD,A,201010
035614,20160930,2016,INDL,C,D,STD,CRNC,CERENCE INC,USD,A,451030
035642,20161231,2016,INDL,C,D,STD,PNTG,PENNANT GROUP INC (THE),USD,A,351020
036718,20161231,2016,INDL,C,D,STD,MEG,MONTROSE ENV GROUP INC,USD,A,202010
060800,20161231,2016,INDL,C,D,STD,SBGI,SINCLAIR BROADCAST GP  -CL A,USD,A,502010
060900,20161231,2016,INDL,C,D,STD,DISH,DISH NETWORK CORP,USD,A,502010
060902,20161231,2016,INDL,C,D,STD,HA,HAWAIIAN HOLDINGS INC,USD,A,203020
060914,20161231,2016,FS,C,D,STD,LSI,LIFE STORAGE INC,USD,A,601010
060914,20161231,2016,INDL,C,D,STD,LSI,LIFE STORAGE INC,USD,A,601010
060923,20160131,2015,INDL,C,D,STD,PLAY,DAVE & BUSTER'S ENTMT INC,USD,A,253010
060931,20161231,2016,INDL,C,D,STD,GIC,GLOBAL INDUSTRIAL CO,USD,A,201070
060979,20161231,2016,INDL,C,D,STD,WAB,WABTEC CORP,USD,A,201060
061004,20161231,2016,INDL,C,D,STD,ACTG,ACACIA RESEARCH CORP,USD,A,402010
061153,20161231,2016,INDL,C,D,STD,EAF,GRAFTECH INTERNATIONAL LTD,USD,A,201040
061155,20161231,2016,INDL,C,D,STD,AAWW,ATLAS AIR WORLDWIDE HLDG INC,USD,A,203010
061163,20161231,2016,FS,C,D,STD,SHO,SUNSTONE HOTEL INVESTORS INC,USD,A,601010
061163,20161231,2016,INDL,C,D,STD,SHO,SUNSTONE HOTEL INVESTORS INC,USD,A,601010
061179,20161231,2016,INDL,C,D,STD,KFRC,KFORCE INC,USD,A,202020
061181,20161231,2016,INDL,C,D,STD,IART,INTEGRA LIFESCIENCES HOLDNGS,USD,A,351010
061321,20161231,2016,INDL,C,D,STD,SMSI,SMITH MICRO SOFTWARE INC,USD,A,451030
061325,20161231,2016,INDL,C,D,STD,MD,PEDIATRIX MEDICAL GROUP INC,USD,A,351020
