Area,2000Pop,2005Pop,2010Pop,fips
LaSalle County,111599,112565,113924,17099
Lawrence County,15449,16910,16833,17101
Lee County,36062,35635,36031,17103
Livingston County,39734,39062,38950,17105
Logan County,31199,30795,30305,17107
McDonough County,32906,32848,32612,17109
McHenry County,259524,294280,308760,17111
McLean County,150384,160299,169572,17113
Macon County,114690,111083,110768,17115
Macoupin County,49008,48418,47765,17117
Madison County,259019,264759,269282,17119
Marion County,41678,39941,39437,17121
Marshall County,13159,12952,12640,17123
Mason County,16034,15471,14666,17125
Massac County,15163,15477,15429,17127
Menard County,12483,12556,12705,17129
Mercer County,16940,16694,16434,17131
Monroe County,27625,31007,32957,17133
Montgomery County,30646,30288,30104,17135
Morgan County,36627,36101,35547,17137
Moultrie County,14288,14587,14846,17139
Ogle County,51001,52893,53497,17141
Peoria County,183466,182868,186494,17143
Perry County,23091,22608,22350,17145
Piatt County,16385,16649,16729,17147
Pike County,17362,16862,16430,17149
Pope County,4397,4346,4470,17151
Pulaski County,7333,6575,6161,17153
Putnam County,6077,5977,6006,17155
Randolph County,33897,33588,33476,17157
Richland County,16291,16258,16233,17159
Rock Island County,149390,147067,147546,17161
St. Clair County,256043,261255,270056,17163
Saline County,26752,25526,24913,17165
Sangamon County,188974,192432,197465,17167
Schuyler County,7181,7508,7544,17169
Scott County,5539,5457,5355,17171
Shelby County,22884,22445,22363,17173
Stark County,6330,6136,5994,17175
Stephenson County,48995,48105,47711,17177
Tazewell County,128465,130784,135394,17179
Union County,18311,18071,17808,17181
Vermilion County,83929,82728,81625,17183
Wabash County,12932,12451,11947,17185
Warren County,18736,17874,17707,17187
Washington County,15150,14950,14716,17189
Wayne County,17149,16910,16760,17191
White County,15381,15074,14665,17193
Whiteside County,60662,59094,58498,17195
Will County,502211,627610,677560,17197
Williamson County,61300,63875,66357,17199
Winnebago County,278441,286178,295266,17201
Woodford County,35491,37032,38664,17203
Indiana,6080827,6278616,6483802,18000
Adams County,33605,33867,34387,18001
Allen County,331859,343238,355329,18003
Bartholomew County,71467,73660,76794,18005
Benton County,9427,8915,8854,18007
Blackford County,14042,13392,12766,18009
Boone County,46145,51261,56640,18011
Brown County,14953,15283,15242,18013
Carroll County,20168,20274,20155,18015
Cass County,40924,39637,38966,18017
Clark County,96446,101781,110232,18019
Clay County,26567,27097,26890,18021
Clinton County,33879,33237,33224,18023
Crawford County,10743,11012,10713,18025
Daviess County,29815,30452,31648,18027
Dearborn County,46163,48421,50047,18029
Decatur County,24559,25374,25740,18031
DeKalb County,40303,41494,42223,18033
Delaware County,118769,118170,117671,18035
Dubois County,39868,41265,41889,18037
Elkhart County,182793,192242,197559,18039
Fayette County,25591,24700,24277,18041
Floyd County,70815,71905,74578,18043
Fountain County,17962,17436,17240,18045
Franklin County,22187,23049,23087,18047
Fulton County,20502,20540,20836,18049
Gibson County,32473,33268,33503,18051
Grant County,73410,70803,70061,18053
Greene County,33152,33320,33165,18055
Hamilton County,182763,235039,274569,18057
Hancock County,55439,63045,70002,18059
Harrison County,34354,37354,39364,18061
Hendricks County,104051,128082,145448,18063
Henry County,48511,48064,49462,18065
Howard County,84961,84382,82752,18067
Huntington County,38078,37650,37124,18069
Jackson County,41397,41683,42376,18071
Jasper County,30192,31763,33478,18073
Jay County,21815,21595,21253,18075
Jefferson County,31712,31998,32428,18077
Jennings County,27561,28352,28525,18079
Johnson County,115181,126769,139654,18081
